epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
92,1219.83,0.93556,1.48055,0.62007,0.92018,0,0.86984,0.92803,0.88829,0.59424,0.88445,0.93535,0.90209,0.60926,0.99704,1.48637,0.80048,0.96962,0,0.0013994,0.0013994,0.0013994
93,1228.97,0.96058,1.48839,0.61895,0.92231,0,0.89194,0.92791,0.89595,0.60872,0.90082,0.93715,0.90467,0.61797,0.96212,1.44104,0.77096,0.9638,0,0.0013928,0.0013928,0.0013928
94,1238.79,0.92798,1.4907,0.61126,0.92207,0,0.88846,0.9107,0.90514,0.61526,0.8984,0.92089,0.91155,0.61422,0.96005,1.51993,0.78831,0.9574,0,0.0013862,0.0013862,0.0013862
95,1248.08,0.94492,1.48082,0.60012,0.92459,0,0.88651,0.93694,0.89355,0.60473,0.89483,0.94427,0.90157,0.61766,0.95099,1.44891,0.78814,0.96216,0,0.0013796,0.0013796,0.0013796
96,1258.81,0.93655,1.47581,0.6238,0.92072,0,0.88681,0.93344,0.89836,0.61659,0.88983,0.93889,0.90113,0.61549,0.96361,1.44972,0.76561,0.96102,0,0.001373,0.001373,0.001373
97,1269.07,0.94317,1.48629,0.60396,0.92416,0,0.88944,0.95305,0.90973,0.62841,0.89657,0.96069,0.91363,0.63846,0.95827,1.4333,0.75322,0.96543,0,0.0013664,0.0013664,0.0013664
98,1285.48,0.92925,1.47385,0.6083,0.91747,0,0.88735,0.94328,0.90218,0.63232,0.89473,0.95284,0.9077,0.62791,0.92496,1.41984,0.75979,0.95008,0,0.0013598,0.0013598,0.0013598
99,1298.78,0.93895,1.45376,0.59747,0.92144,0,0.89406,0.94299,0.90958,0.61044,0.90157,0.95091,0.91433,0.63411,0.96506,1.45333,0.78687,0.96456,0,0.0013532,0.0013532,0.0013532
100,1312.3,0.92978,1.47165,0.60189,0.92529,0,0.88197,0.93917,0.8925,0.602,0.88958,0.94554,0.89822,0.61224,0.9735,1.46432,0.7693,0.96384,0,0.0013466,0.0013466,0.0013466
101,1326.85,0.93609,1.4578,0.63096,0.91756,0,0.89144,0.94926,0.89935,0.62203,0.89952,0.96074,0.90747,0.61441,0.93786,1.45218,0.77144,0.95134,0,0.00134,0.00134,0.00134
102,1339.37,0.94734,1.46348,0.60498,0.92097,0,0.89797,0.94076,0.90897,0.60059,0.90556,0.9466,0.91452,0.63171,0.97325,1.48111,0.78988,0.96458,0,0.0013334,0.0013334,0.0013334
103,1349.86,0.93578,1.45777,0.59896,0.92056,0,0.88748,0.94204,0.89675,0.59379,0.89828,0.9535,0.90762,0.61447,0.96984,1.44857,0.79918,0.96512,0,0.0013268,0.0013268,0.0013268
104,1360.93,0.93884,1.47161,0.60144,0.92374,0,0.9077,0.9458,0.92432,0.6339,0.91658,0.95183,0.92847,0.6413,0.95944,1.45475,0.77406,0.96753,0,0.0013202,0.0013202,0.0013202
105,1373.91,0.93749,1.44727,0.59202,0.92084,0,0.90307,0.95764,0.91008,0.63335,0.90878,0.96369,0.91369,0.62465,0.95746,1.43468,0.74147,0.96678,0,0.0013136,0.0013136,0.0013136
106,1383.74,0.92344,1.46145,0.59741,0.92048,0,0.8839,0.92616,0.90473,0.63377,0.89156,0.93248,0.91107,0.62804,0.92833,1.43562,0.76245,0.95418,0,0.001307,0.001307,0.001307
107,1393.48,0.94355,1.47068,0.59142,0.91525,0,0.8967,0.94682,0.904,0.62159,0.90515,0.95573,0.90873,0.63168,0.94334,1.44418,0.75744,0.95773,0,0.0013004,0.0013004,0.0013004
108,1408.86,0.9252,1.48065,0.60342,0.92179,0,0.89497,0.95032,0.89981,0.61873,0.90457,0.96051,0.90922,0.62348,0.9461,1.44299,0.76655,0.96429,0,0.0012938,0.0012938,0.0012938
109,1418.85,0.94273,1.48163,0.59331,0.92824,0,0.89622,0.93981,0.90415,0.62375,0.90472,0.94873,0.90899,0.61899,0.94967,1.43444,0.75723,0.96592,0,0.0012872,0.0012872,0.0012872
110,1429.29,0.93548,1.45518,0.59311,0.91944,0,0.89027,0.95603,0.89839,0.61462,0.89857,0.96495,0.90485,0.61978,0.93478,1.41885,0.76632,0.95482,0,0.0012806,0.0012806,0.0012806
111,1440.44,0.9144,1.4641,0.58624,0.92397,0,0.89681,0.9383,0.9079,0.63902,0.9015,0.94522,0.91217,0.62139,0.93342,1.45868,0.76351,0.95757,0,0.001274,0.001274,0.001274
112,1452.29,0.9215,1.45292,0.59007,0.91692,0,0.90886,0.93372,0.91226,0.6279,0.9163,0.94137,0.92074,0.62628,0.96089,1.45622,0.75173,0.95693,0,0.0012674,0.0012674,0.0012674
113,1464.93,0.92305,1.4302,0.5913,0.91517,0,0.90758,0.94108,0.90852,0.62591,0.91677,0.95061,0.91784,0.62747,0.9279,1.44267,0.77171,0.95121,0,0.0012608,0.0012608,0.0012608
114,1473.95,0.92697,1.4311,0.58656,0.92379,0,0.90164,0.93131,0.89842,0.60588,0.9149,0.945,0.91369,0.62484,0.97096,1.41065,0.77972,0.9687,0,0.0012542,0.0012542,0.0012542
115,1483.12,0.93221,1.45623,0.60189,0.91941,0,0.90138,0.94459,0.90182,0.59674,0.91234,0.95637,0.91211,0.61497,0.96803,1.48237,0.80127,0.96377,0,0.0012476,0.0012476,0.0012476
116,1492.77,0.92467,1.44857,0.58854,0.92173,0,0.90023,0.91952,0.90923,0.62748,0.90391,0.9227,0.91124,0.63272,0.95123,1.43242,0.77909,0.96566,0,0.001241,0.001241,0.001241
117,1505.1,0.92695,1.45111,0.59106,0.91775,0,0.88312,0.94777,0.89513,0.58834,0.89439,0.95987,0.90528,0.61977,0.99632,1.4456,0.78315,0.96575,0,0.0012344,0.0012344,0.0012344
118,1514.88,0.92368,1.4493,0.58573,0.91653,0,0.88163,0.94363,0.89477,0.61193,0.89872,0.96019,0.90899,0.6253,0.9561,1.42601,0.77679,0.96253,0,0.0012278,0.0012278,0.0012278
119,1525.48,0.91678,1.45086,0.5718,0.91374,0,0.90003,0.95483,0.90513,0.62528,0.91227,0.96752,0.91296,0.62673,0.92266,1.42856,0.76145,0.94806,0,0.0012212,0.0012212,0.0012212
120,1534.7,0.91987,1.42722,0.58997,0.91415,0,0.90265,0.9361,0.92386,0.65135,0.91015,0.94299,0.92727,0.63763,0.93076,1.41405,0.74763,0.9561,0,0.0012146,0.0012146,0.0012146
121,1545.41,0.92288,1.46411,0.59702,0.9212,0,0.88996,0.94013,0.89468,0.61007,0.90232,0.95318,0.90455,0.61573,0.97536,1.44802,0.80613,0.96819,0,0.001208,0.001208,0.001208
122,1554.45,0.92188,1.45886,0.60236,0.91972,0,0.89781,0.94427,0.90752,0.63113,0.90447,0.95127,0.91172,0.63026,0.94917,1.40876,0.74794,0.96102,0,0.0012014,0.0012014,0.0012014
