epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
78,970.374,0.94459,1.48525,0.64286,0.93128,0,0.88322,0.9535,0.89497,0.6137,0.89039,0.96239,0.89921,0.61595,0.96169,1.43975,0.77593,0.97003,0,0.0014918,0.0014918,0.0014918
79,981.111,0.94416,1.46231,0.6214,0.93118,0,0.87722,0.9465,0.89426,0.60938,0.88732,0.95796,0.90242,0.62015,0.98097,1.42954,0.78063,0.98452,0,0.0014852,0.0014852,0.0014852
80,1001.25,0.94192,1.48244,0.64153,0.93186,0,0.89943,0.95732,0.91172,0.62687,0.90984,0.96735,0.91576,0.62789,0.95811,1.44703,0.76392,0.97132,0,0.0014786,0.0014786,0.0014786
81,1012.18,0.9351,1.4876,0.61696,0.93346,0,0.86705,0.92166,0.88923,0.60489,0.87984,0.93439,0.89903,0.60101,0.97225,1.49534,0.7967,0.97346,0,0.001472,0.001472,0.001472
82,1022.79,0.92797,1.47225,0.61504,0.92898,0,0.87156,0.94435,0.89592,0.62489,0.88008,0.95359,0.90321,0.61796,0.93171,1.44544,0.7721,0.96504,0,0.0014654,0.0014654,0.0014654
83,1039.79,0.95314,1.48607,0.62665,0.92659,0,0.8902,0.95605,0.90242,0.60463,0.89495,0.96115,0.90729,0.61549,0.98733,1.44957,0.76121,0.98005,0,0.0014588,0.0014588,0.0014588
84,1050.07,0.93879,1.47601,0.62969,0.92942,0,0.88247,0.95732,0.89708,0.60692,0.88746,0.96274,0.90037,0.60996,0.98788,1.50674,0.74743,0.98392,0,0.0014522,0.0014522,0.0014522
85,1062.57,0.95091,1.48599,0.62164,0.93665,0,0.88764,0.93848,0.90106,0.6145,0.89578,0.94707,0.9077,0.6215,0.97374,1.48036,0.76123,0.97887,0,0.0014456,0.0014456,0.0014456
86,1078.09,0.92287,1.46672,0.60855,0.92827,0,0.88844,0.95796,0.89579,0.6129,0.89759,0.96783,0.90563,0.613,0.9588,1.41762,0.76185,0.97223,0,0.001439,0.001439,0.001439
87,1089.04,0.93803,1.46816,0.61081,0.9224,0,0.89026,0.95669,0.89451,0.61199,0.90182,0.96911,0.90571,0.62482,0.95279,1.42943,0.77043,0.97031,0,0.0014324,0.0014324,0.0014324
88,1100.73,0.93948,1.45588,0.6131,0.92476,0,0.8811,0.94868,0.89732,0.62525,0.89091,0.95669,0.90582,0.61751,0.94611,1.44478,0.74449,0.96909,0,0.0014258,0.0014258,0.0014258
89,1112.55,0.93853,1.47713,0.5965,0.92366,0,0.89005,0.95764,0.89925,0.59832,0.89725,0.96465,0.90872,0.61502,0.95307,1.46156,0.79096,0.96709,0,0.0014192,0.0014192,0.0014192
90,1123.37,0.9305,1.46466,0.6221,0.92264,0,0.88683,0.93662,0.90407,0.63622,0.90139,0.94968,0.91525,0.62036,0.91513,1.45006,0.76295,0.95554,0,0.0014126,0.0014126,0.0014126
91,1134.42,0.93671,1.47148,0.60671,0.92809,0,0.8941,0.95637,0.90982,0.63199,0.90078,0.96497,0.91538,0.63136,0.96717,1.46467,0.74245,0.97957,0,0.001406,0.001406,0.001406
92,1146.93,0.92896,1.4475,0.62144,0.92518,0,0.878,0.94841,0.89821,0.62718,0.88895,0.95597,0.90767,0.61953,0.93623,1.40987,0.76305,0.96484,0,0.0013994,0.0013994,0.0013994
93,1155.92,0.94717,1.45268,0.62307,0.92312,0,0.88445,0.95637,0.89411,0.60932,0.89195,0.96306,0.90056,0.62039,0.95877,1.43532,0.76877,0.97584,0,0.0013928,0.0013928,0.0013928
94,1164.33,0.92171,1.45671,0.62291,0.92485,0,0.88816,0.95602,0.89984,0.62633,0.89585,0.96752,0.90457,0.6083,0.93203,1.48092,0.75664,0.96013,0,0.0013862,0.0013862,0.0013862
95,1173.49,0.9332,1.45385,0.60648,0.92715,0,0.87983,0.95837,0.90781,0.62642,0.88572,0.96592,0.91108,0.61449,0.95915,1.4298,0.73849,0.97941,0,0.0013796,0.0013796,0.0013796
96,1184.18,0.92539,1.44919,0.60875,0.92195,0,0.88393,0.95732,0.90032,0.62892,0.88951,0.96338,0.90428,0.61432,0.94457,1.44856,0.74066,0.9685,0,0.001373,0.001373,0.001373
97,1193.19,0.92692,1.46176,0.60495,0.92529,0,0.89295,0.96242,0.90984,0.63009,0.90241,0.97261,0.91673,0.6416,0.9562,1.407,0.74026,0.97659,0,0.0013664,0.0013664,0.0013664
98,1202.02,0.91641,1.44553,0.60765,0.91823,0,0.88253,0.94989,0.89535,0.62091,0.89141,0.95944,0.90407,0.62502,0.92322,1.39864,0.74832,0.95885,0,0.0013598,0.0013598,0.0013598
99,1212.39,0.93309,1.44528,0.59662,0.92466,0,0.88585,0.93503,0.90667,0.62791,0.89724,0.9482,0.91609,0.63184,0.93151,1.44653,0.77831,0.9672,0,0.0013532,0.0013532,0.0013532
100,1228.42,0.91836,1.45285,0.61323,0.92992,0,0.87098,0.94586,0.89035,0.60795,0.88147,0.95923,0.90328,0.61477,0.95791,1.44085,0.76479,0.97224,0,0.0013466,0.0013466,0.0013466
101,1238.57,0.91515,1.43256,0.62851,0.91879,0,0.88971,0.94873,0.90047,0.63385,0.90172,0.96178,0.9092,0.61768,0.91796,1.41254,0.76239,0.95632,0,0.00134,0.00134,0.00134
102,1248.03,0.92931,1.43695,0.60765,0.92029,0,0.89982,0.96146,0.90328,0.61852,0.90787,0.97006,0.91243,0.6243,0.93903,1.43686,0.75043,0.96518,0,0.0013334,0.0013334,0.0013334
103,1257.42,0.92356,1.44031,0.59279,0.92327,0,0.8754,0.95159,0.89219,0.60253,0.89007,0.96497,0.90446,0.62364,0.98122,1.4398,0.77863,0.9824,0,0.0013268,0.0013268,0.0013268
104,1267.12,0.91727,1.44186,0.59995,0.92332,0,0.90248,0.95828,0.91534,0.63975,0.91507,0.97166,0.92553,0.63793,0.9288,1.41322,0.7434,0.9614,0,0.0013202,0.0013202,0.0013202
105,1276.67,0.92151,1.42612,0.59025,0.92034,0,0.8815,0.95764,0.89439,0.62013,0.88912,0.96592,0.90323,0.61807,0.92802,1.40903,0.74284,0.96047,0,0.0013136,0.0013136,0.0013136
106,1286.13,0.9127,1.44777,0.60542,0.92157,0,0.86689,0.94575,0.89341,0.62062,0.8774,0.95494,0.90064,0.61436,0.92919,1.45654,0.77219,0.96258,0,0.001307,0.001307,0.001307
